السؤال,الإجابة
ما هو التطبيق؟,هذا تطبيق لمساعدة الأشخاص في تقييم متلازمة أسبرجر.
كيف يعمل التطبيق؟,يطرح التطبيق أسئلة لتحليل مستوى التوحد عند المستخدم.
ما هي متلازمة أسبرجر؟,متلازمة أسبرجر هي نوع من اضطرابات طيف التوحد تؤثر على التواصل والتفاعل الاجتماعي.
هل يمكن علاج متلازمة أسبرجر؟,لا يوجد علاج نهائي، ولكن يمكن تحسين المهارات الاجتماعية والتواصلية عبر التدريبات والدعم.
كيف يمكنني استخدام التطبيق؟,يمكنك البدء بالإجابة على الأسئلة وسيقوم التطبيق بتحليل إجاباتك.
ما اسمك؟,أنا شات بوت ذكي هنا لمساعدتك!
كيف حالك؟,أنا بخير، شكراً لسؤالك!
ماذا يمكنك أن تفعل؟,يمكنني الإجابة عن أسئلتك حول التطبيق ومتلازمة أسبرجر.
كيف أتواصل مع الدعم الفني؟,يمكنك التواصل عبر البريد الإلكتروني أو عبر قسم الدعم في التطبيق.
أخبرني نكتة,لماذا لا يستطيع الكمبيوتر لعب الكرة؟ لأنه يخشى الفيروسات!
ما هي أعراض متلازمة أسبرجر؟,تشمل صعوبة في التواصل الاجتماعي، التحدث بنبرة غير طبيعية، والاهتمام الشديد بمواضيع محددة.
هل يمكن لشخص مصاب بمتلازمة أسبرجر أن يعيش حياة طبيعية؟,نعم، مع الدعم المناسب يمكن للأشخاص المصابين أن يعيشوا حياة ناجحة ومستقلة.
ما الفرق بين التوحد ومتلازمة أسبرجر؟,متلازمة أسبرجر تعتبر جزءاً من طيف التوحد ولكنها تتميز بعدم تأخر اللغة أو التطور المعرفي.
كيف يمكن دعم شخص مصاب بمتلازمة أسبرجر؟,عن طريق تقديم بيئة داعمة، توفير التوجيه الاجتماعي، وتعزيز المهارات الاجتماعية.
ما أسباب متلازمة أسبرجر؟,لم يتم تحديد سبب دقيق، ولكن يُعتقد أن العوامل الوراثية تلعب دورًا.
هل هناك اختبار طبي لتشخيص متلازمة أسبرجر؟,لا يوجد اختبار محدد، ولكن يتم التشخيص من خلال ملاحظة السلوكيات وإجراء تقييم نفسي.
ما هي التحديات التي يواجهها الأشخاص المصابون بمتلازمة أسبرجر؟,يواجهون صعوبة في فهم تعابير الوجه، والتواصل الاجتماعي، والتكيف مع التغييرات.
هل متلازمة أسبرجر تعتبر إعاقة؟,تصنف كاضطراب عصبي نمائي ولكنها لا تؤثر بالضرورة على الذكاء أو القدرة على التعلم.
هل هناك مشاهير مصابون بمتلازمة أسبرجر؟,نعم، يعتقد أن بعض المشاهير مثل ألبرت أينشتاين قد يكون لديهم سمات من أسبرجر.
هل يمكن تحسين مهارات التواصل لدى المصابين بمتلازمة أسبرجر؟,نعم، من خلال العلاج السلوكي والتدريب على المهارات الاجتماعية.
ما هو التوحد؟,التوحد هو اضطراب نمائي يؤثر على طريقة تواصل الطفل وتفاعله مع الآخرين، ويؤثر على سلوكه واهتماماته.
ما هي متلازمة أسبرجر؟,هي نوع من أنواع التوحد الخفيف، يكون فيها الطفل لديه مهارات لغوية جيدة لكن يواجه صعوبة في التواصل الاجتماعي وفهم المشاعر.
فيما يختص هذا التطبيق؟,التطبيق يساعد أولياء الأمور على تقييم وتحسين مهارات أطفالهم المصابين بمتلازمة أسبرجر من خلال جلسات تفاعلية واختبارات ذكية.
كم عدد الجلسات في الأسبوع؟,يُفضل إجراء 3 جلسات أسبوعياً لتحقيق أفضل نتائج.
كم عدد الجلسات في الشهر؟,حوالي 12 جلسة في الشهر، بمعدل 3 جلسات أسبوعياً.
كيفية معرفة مستوى الطفل؟,من خلال الإجابات على الأسئلة داخل الاختبارات، يقوم الذكاء الاصطناعي بتحليل الإجابات وتحديد المستوى.
ما هو مسار عمل التطبيق؟,يبدأ بتقييم مبدئي، ثم جلسات تفاعلية أسبوعية، ثم اختبار شهري وتحليل الأداء وتقديم توصيات مستمرة.
كم مدة الجلسة؟,مدة الجلسة الواحدة تتراوح من 15 إلى 30 دقيقة حسب عمر الطفل وتفاعله.
كم مدة الاختبار؟,مدة الاختبار تقريباً من 10 إلى 15 دقيقة.
كم عدد الانفعالات الموجودة في التطبيق؟,يوجد 7 انفعالات: الفرح، الحزن، الغضب، الخجل، الاندهاش، التفكير، والخوف.
ما هي أنواع الاختبارات؟,اختبارات أسبوعية قصيرة، شهرية، واختبار شامل كل 3 شهور لتقييم التقدم.
هل يوجد تقييم؟,نعم، يوجد تقييم بعد كل جلسة واختبار لتحديد مستوى التحسن والاحتياجات.
مما يتكون اختبار الجلسة؟,أسئلة تفاعلية بسيطة لقياس استجابة الطفل وسلوكه بعد الجلسة.
مما يتكون اختبار الشهر؟,أسئلة تحليلية تعتمد على الانفعالات والسلوكيات التي ظهرت خلال الشهر.
مما يتكون اختبار الـ ٣ شهور؟,اختبار شامل يحتوي على أسئلة متدرجة لتقييم التقدم العام في التفاعل والانفعالات.
ماذا يحدث إذا نسيت كلمة المرور؟,"يمكنك الضغط على ""نسيت كلمة المرور؟"" في التطبيق لإعادة ضبطها عبر البريد الإلكتروني."
هل هذا التطبيق مجاني؟,التطبيق يحتوي على نسخة مجانية، وقد تتوفر خصائص إضافية مدفوعة.
كيف يمكنني تسجيل طفل جديد؟,من خلال صفحة التسجيل داخل التطبيق، أدخل بيانات الطفل مثل الاسم والعمر وبعض المعلومات البسيطة.
هل التطبيق مناسب لكل الأعمار؟,التطبيق موجه للأطفال من عمر 6 إلى 12 سنة، خاصة المصابين بمتلازمة أسبرجر.
هل يمكن استخدام التطبيق من أكثر من جهاز؟,نعم، يمكنك استخدام نفس الحساب على أكثر من جهاز بسهولة.
هل يوجد دعم فني في حال واجهت مشكلة؟,نعم، يوجد فريق دعم فني يمكنك التواصل معه من خلال التطبيق أو البريد الإلكتروني.
هل نتائج الاختبارات تظهر فوراً؟,نعم، تظهر النتائج مباشرة بعد انتهاء الطفل من الاختبار.
هل يتم حفظ تقدم الطفل في التطبيق؟,بالتأكيد، يتم حفظ كل جلسة واختبار، ويمكن الرجوع للتقارير في أي وقت.
ما هي الأنشطة الموجودة داخل الجلسات؟,أنشطة تعليمية، تفاعلية، واختبارات انفعالية مبنية على الذكاء الاصطناعي.
هل يمكن للطبيب متابعة تقدم الطفل من خلال التطبيق؟,نعم، يمكن مشاركة التقارير مع الطبيب المختص لمتابعة الحالة.
هل يمكن استخدام التطبيق بدون اتصال إنترنت؟,بعض الخصائص متاحة بدون إنترنت، لكن الاختبارات والتقارير تحتاج اتصالًا لتحديث البيانات.
هل يوجد إشعارات لتذكيرنا بالجلسات؟,نعم، يقوم التطبيق بإرسال إشعارات لتذكيرك بمواعيد الجلسات والاختبارات.
ما الفرق بين الجلسة والاختبار؟,الجلسة هي نشاط تعليمي تفاعلي، أما الاختبار فهو أداة لتقييم سلوك الطفل بعد الجلسة.
كيف يتم تخصيص الأنشطة لكل طفل؟,بناءً على نتائج الاختبارات السابقة، يتم تخصيص الأنشطة المناسبة لمستوى الطفل.
هل يمكنني تعديل بيانات الطفل بعد التسجيل؟,نعم، من خلال إعدادات الحساب يمكنك تعديل بيانات الطفل في أي وقت.
هل التطبيق آمن على بيانات الأطفال؟,نعم، يتم استخدام تقنيات تشفير لحماية البيانات وخصوصية المستخدمين.
هل الجلسات تفاعلية؟,نعم، تعتمد الجلسات على التفاعل المباشر مع الطفل من خلال الصور والأسئلة.
هل يتم تدريب الذكاء الاصطناعي على حالات عربية؟,نعم، تم تدريب النموذج على بيانات عربية لضمان دقة التقييم والفهم الثقافي.
هل يحتوي التطبيق على فيديوهات تعليمية؟,نعم، يتم تضمين فيديوهات تعليمية مبسطة تساعد الطفل على فهم المشاعر والتفاعل.
كيف يساعد التطبيق في علاج متلازمة أسبرجر؟,من خلال التقييم المستمر، والتفاعل، وتحفيز المهارات الاجتماعية والانفعالية لدى الطفل.
هل يمكن للتطبيق الكشف عن مستوى التفاعل الاجتماعي؟,نعم، من خلال تحليل الأجوبة وسلوك الطفل داخل الجلسات.
كيف يتم تصنيف الطفل داخل التطبيق؟,يتم تصنيفه حسب درجة التفاعل، والفهم، والاستجابة للأنشطة والانفعالات.
ما المقصود بالتحليل الذكي للإجابات؟,هو تحليل دقيق لإجابات الطفل باستخدام الذكاء الاصطناعي لتحديد حالته بدقة.
ما هي أنواع الانفعالات التي يتعرف عليها التطبيق؟,الفرح، الحزن، الغضب، الخجل، الخوف، التفكير، الاندهاش.
هل يمكن إرسال تقارير للطبيب المعالج؟,نعم، يمكن تحميل أو إرسال التقارير مباشرة للطبيب بصيغة PDF.
ما هو العمر المناسب لاستخدام التطبيق؟,العمر المناسب لاستخدام التطبيق هو من 6 إلى 12 سنة.
هل يمكن استخدام التطبيق لأكثر من طفل؟,نعم، يمكنك إضافة أكثر من طفل بنفس الحساب وإدارة كل واحد على حدة.
هل التطبيق مخصص للأطفال فقط أم يمكن استخدامه للبالغين؟,التطبيق مخصص للأطفال، لكن يمكن تكييفه مع بعض المراهقين حسب الحاجة.
هل يمكن مشاركة بيانات الطفل مع المدرسة؟,نعم، يمكن مشاركة تقارير الأداء مع المدرسة في صيغة PDF.
هل يوجد تنبيهات للأنشطة اليومية؟,نعم، التطبيق يرسل تنبيهات بخصوص مواعيد الجلسات والأنشطة.
كيف أعرف إذا كان طفلي يتحسن؟,ستلاحظ التحسن من خلال التقارير الدورية وتطور مستوى التفاعل والاستجابة.
هل يوجد تقارير أسبوعية أو شهرية؟,نعم، يصدر التطبيق تقارير أسبوعية وشهرية توضح أداء الطفل وتقدمه.
هل التطبيق يقدم نصائح تربوية؟,نعم، يقدم نصائح تربوية للوالدين بناءً على سلوك الطفل ونتائج الجلسات.
كيف أقدر أعدل مواعيد الجلسات؟,يمكنك تعديل المواعيد من خلال إعدادات الجلسات داخل التطبيق.
ما هي التقنية المستخدمة لتحليل الانفعالات؟,التطبيق يستخدم تقنيات الذكاء الاصطناعي وتحليل الصور لاكتشاف الانفعالات.
هل يمكن حذف حساب الطفل؟,نعم، يمكن حذف حساب الطفل من الإعدادات مع تأكيد الهوية.
ما نوع الأسئلة التي يطرحها الاختبار؟,الأسئلة تشمل صور، مواقف، واختيارات تقيس الفهم الانفعالي والسلوكي.
هل يمكن للطفل اللعب داخل التطبيق؟,نعم، يوجد داخل التطبيق ألعاب تعليمية ممتعة للطفل.
هل يوجد نظام مكافآت لتحفيز الطفل؟,نعم، يوجد نظام مكافآت وتحفيزات لمساعدة الطفل على التفاعل المستمر.
هل يمكنني إرسال ملاحظاتي لفريق التطبيق؟,نعم، يمكن إرسال الملاحظات من خلال صفحة الدعم داخل التطبيق.
هل يحتوي التطبيق على ألعاب تعليمية؟,نعم، التطبيق يحتوي على ألعاب تعليمية تفاعلية تعزز الفهم والانتباه.
هل يتم تحديث الأنشطة بشكل دوري؟,نعم، يتم تحديث الأنشطة بانتظام بناءً على التجاوب والملاحظات.
كيف أتعامل مع الطفل لو رفض التفاعل؟,في حال رفض الطفل التفاعل، يفضل تقديم النشاط بشكل مرح وتشجيعي بدون ضغط.
هل الطفل بيحتاج إشراف أثناء الجلسة؟,يُفضل إشراف أحد الوالدين خاصة في المرات الأولى لاستخدام الطفل للتطبيق.
هل التطبيق يفرق بين أنواع التوحد؟,حالياً، التطبيق موجه لمتلازمة أسبرجر، لكنه يمكن تطويره لاحقاً ليشمل أنواعًا أخرى.
هل ممكن أطبع تقارير الأداء؟,نعم، يمكنك طباعة تقارير الأداء من داخل التطبيق بصيغة PDF.
هل هناك دليل للاستخدام داخل التطبيق؟,نعم، يوجد دليل إرشادي داخل التطبيق لشرح كل جزء خطوة بخطوة.
هل يمكن متابعة أكثر من طفل في نفس الحساب؟,نعم، يمكن متابعة أكثر من طفل باستخدام حساب واحد، مع تقارير منفصلة.
هل يوجد نظام لتقييم التطبيق؟,نعم، يمكن تقييم التطبيق من داخل المتجر وإرسال الملاحظات للفريق المطور.
هل يمكنني تغيير لغة التطبيق؟,حاليًا اللغة المتاحة هي العربية، ويتم العمل على دعم لغات أخرى.
هل يتم تقييم الذكاء العاطفي للطفل؟,نعم، التطبيق يقيس مستوى الذكاء العاطفي من خلال تفاعل الطفل مع المواقف المختلفة.
ما هو الفرق بين تقييم السلوك وتقييم الانفعال؟,تقييم السلوك يركز على التصرفات الظاهرة، بينما تقييم الانفعال يركز على ردود الفعل الشعورية.
هل يحتوي التطبيق على تمارين جسدية؟,نعم، يحتوي التطبيق على بعض التمارين الحركية البسيطة المرتبطة بالجلسات.
ما دور الذكاء الاصطناعي في التطبيق؟,الذكاء الاصطناعي في التطبيق يحلل سلوك الطفل ويخصص المحتوى المناسب له.
هل هناك خطة علاجية مقترحة لكل مستوى؟,نعم، يتم اقتراح خطة علاجية مخصصة بناءً على نتائج الطفل ومتابعة الأداء.
كيف يتم التعامل مع الأطفال ذوي الأداء الضعيف؟,يتم تخصيص جلسات إضافية وتمارين داعمة للأطفال ذوي الأداء الضعيف.
هل التطبيق يعمل على كل أنواع الهواتف؟,نعم، التطبيق يعمل على معظم الهواتف بنظام أندرويد وiOS.
ما هي المتطلبات لتشغيل التطبيق؟,يتطلب التطبيق هاتف حديث نسبيًا، اتصال بالإنترنت، وكاميرا في بعض الجلسات.
هل يوجد خاصية التحدث الصوتي للطفل؟,نعم، يحتوي التطبيق على خاصية التحدث الصوتي التي تساعد الطفل على الفهم.
هل التطبيق مناسب للأطفال غير الناطقين؟,نعم، يتم دعم الأطفال غير الناطقين من خلال الصور، والأنشطة البصرية، والصوتيات.
هل يمكن للتطبيق العمل في وضع الأوفلاين بالكامل؟,بعض الخصائص تعمل بدون إنترنت، لكن التحليل الكامل يحتاج اتصالًا لتحديث البيانات.
هل توجد إحصائيات مقارنة بين الأطفال؟,لا، التطبيق لا يعرض مقارنة بين الأطفال حفاظًا على خصوصيتهم، لكن يقارن أداء الطفل بنفسه بمرور الوقت.
هل يمكنني معرفة مدى تفاعل الطفل داخل الجلسة؟,نعم، يتم تسجيل مستوى التفاعل داخل الجلسة وإظهاره في التقرير.
كيف يتم حماية خصوصية الطفل داخل التطبيق؟,خصوصية الطفل محفوظة تمامًا باستخدام تشفير البيانات وعدم مشاركتها مع أطراف خارجية.
هل التطبيق يوفر خطة أسبوعية مقترحة تلقائياً؟,نعم، التطبيق يمكنه توليد خطة أسبوعية تلقائية بناءً على نتائج الطفل وتقدمه.
يعني إيه توحد؟,التوحد هو اضطراب في النمو العصبي يؤثر على التواصل، والسلوك، وطريقة التفاعل مع الآخرين. بيظهر غالبًا في سن صغيرة وبيختلف تأثيره من طفل للتاني.
إيه هو التوحد؟,التوحد هو اضطراب في النمو العصبي يؤثر على التواصل، والسلوك، وطريقة التفاعل مع الآخرين. بيظهر غالبًا في سن صغيرة وبيختلف تأثيره من طفل للتاني.
ممكن تشرحلي باختصار إيه هو اضطراب التوحد؟,التوحد هو اضطراب في النمو العصبي يؤثر على التواصل، والسلوك، وطريقة التفاعل مع الآخرين. بيظهر غالبًا في سن صغيرة وبيختلف تأثيره من طفل للتاني.
هل التوحد مرض ولا حاجة تانية؟,التوحد هو اضطراب في النمو العصبي يؤثر على التواصل، والسلوك، وطريقة التفاعل مع الآخرين. بيظهر غالبًا في سن صغيرة وبيختلف تأثيره من طفل للتاني.
إيه هي متلازمة أسبرجر؟,متلازمة أسبرجر هي نوع من أنواع اضطراب طيف التوحد، لكنها بتتميز إن الطفل بيكون عنده ذكاء طبيعي أو أعلى، لكن عنده صعوبة في التواصل الاجتماعي وفهم المشاعر.
يعني إيه أسبرجر؟,متلازمة أسبرجر هي نوع من أنواع اضطراب طيف التوحد، لكنها بتتميز إن الطفل بيكون عنده ذكاء طبيعي أو أعلى، لكن عنده صعوبة في التواصل الاجتماعي وفهم المشاعر.
إيه الفرق بين أسبرجر والتوحد؟,متلازمة أسبرجر هي نوع من أنواع اضطراب طيف التوحد، لكنها بتتميز إن الطفل بيكون عنده ذكاء طبيعي أو أعلى، لكن عنده صعوبة في التواصل الاجتماعي وفهم المشاعر.
هل أسبرجر نوع من أنواع التوحد؟,متلازمة أسبرجر هي نوع من أنواع اضطراب طيف التوحد، لكنها بتتميز إن الطفل بيكون عنده ذكاء طبيعي أو أعلى، لكن عنده صعوبة في التواصل الاجتماعي وفهم المشاعر.
التطبيق دا بيعمل إيه؟,التطبيق مصمم علشان يساعد الأطفال المصابين بمتلازمة أسبرجر على تنمية مهاراتهم الانفعالية والاجتماعية من خلال جلسات تفاعلية واختبارات ذكية.
إزاي التطبيق بيساعد الأطفال؟,التطبيق مصمم علشان يساعد الأطفال المصابين بمتلازمة أسبرجر على تنمية مهاراتهم الانفعالية والاجتماعية من خلال جلسات تفاعلية واختبارات ذكية.
التطبيق دا مخصص لمين؟,التطبيق مصمم علشان يساعد الأطفال المصابين بمتلازمة أسبرجر على تنمية مهاراتهم الانفعالية والاجتماعية من خلال جلسات تفاعلية واختبارات ذكية.
هو التطبيق ده بيتابع الطفل إزاي؟,التطبيق مصمم علشان يساعد الأطفال المصابين بمتلازمة أسبرجر على تنمية مهاراتهم الانفعالية والاجتماعية من خلال جلسات تفاعلية واختبارات ذكية.
إيه الهدف من استخدام التطبيق ده؟,التطبيق مصمم علشان يساعد الأطفال المصابين بمتلازمة أسبرجر على تنمية مهاراتهم الانفعالية والاجتماعية من خلال جلسات تفاعلية واختبارات ذكية.
ممكن أعرف عدد الجلسات في الأسبوع؟,عدد الجلسات في الأسبوع غالبًا بيكون من 2 إلى 3 جلسات حسب حالة الطفل، وده بيتم تحديده من خلال خطة مخصصة داخل التطبيق.
كم جلسة مفروض يعملها الطفل في الأسبوع؟,عدد الجلسات في الأسبوع غالبًا بيكون من 2 إلى 3 جلسات حسب حالة الطفل، وده بيتم تحديده من خلال خطة مخصصة داخل التطبيق.
الجلسات بتتعمل كل كام يوم؟,عدد الجلسات في الأسبوع غالبًا بيكون من 2 إلى 3 جلسات حسب حالة الطفل، وده بيتم تحديده من خلال خطة مخصصة داخل التطبيق.
هل في عدد معين للجلسات الأسبوعية؟,عدد الجلسات في الأسبوع غالبًا بيكون من 2 إلى 3 جلسات حسب حالة الطفل، وده بيتم تحديده من خلال خطة مخصصة داخل التطبيق.
الجلسة بتاخد وقت قد إيه؟,مدة الجلسة الواحدة بتكون من 40 إلى 45 دقيقة، عشان الطفل يقدر يركز ويتفاعل بدون ملل.
مدة الجلسة تقريبًا كام دقيقة؟,مدة الجلسة الواحدة بتكون من 40 إلى 45 دقيقة، عشان الطفل يقدر يركز ويتفاعل بدون ملل.
هل الجلسة طويلة ولا قصيرة؟,مدة الجلسة الواحدة بتكون من 40 إلى 45 دقيقة، عشان الطفل يقدر يركز ويتفاعل بدون ملل.
الجلسة مدتها قد إيه عشان أعرف أجهز الطفل؟,مدة الجلسة الواحدة بتكون من 40 إلى 45 دقيقة، عشان الطفل يقدر يركز ويتفاعل بدون ملل.
إزاي أعرف مستوى ابني؟,التطبيق بيقيّم مستوى الطفل من خلال تحليل إجاباته وتفاعله في الجلسات، وبيظهر النتيجة في تقارير تفصيلية.
التطبيق بيحدد مستوى الطفل إزاي؟,التطبيق بيقيّم مستوى الطفل من خلال تحليل إجاباته وتفاعله في الجلسات، وبيظهر النتيجة في تقارير تفصيلية.
هل في تقييم لمستوى الطفل؟,التطبيق بيقيّم مستوى الطفل من خلال تحليل إجاباته وتفاعله في الجلسات، وبيظهر النتيجة في تقارير تفصيلية.
هل أقدر أعرف ابني متحسن ولا لا؟,التطبيق بيقيّم مستوى الطفل من خلال تحليل إجاباته وتفاعله في الجلسات، وبيظهر النتيجة في تقارير تفصيلية.
عدد الانفعالات اللي بيغطيها التطبيق كام؟, التطبيق بيتعرف على 7 انفعالات أساسية وهي: الفرح، الحزن، الغضب، الاندهاش، الخجل، التفكير، والخوف.
التطبيق بيتعرف على كام نوع من الانفعالات؟, التطبيق بيتعرف على 7 انفعالات أساسية وهي: الفرح، الحزن، الغضب، الاندهاش، الخجل، التفكير، والخوف.
إيه هي المشاعر اللي بيحللها التطبيق؟, التطبيق بيتعرف على 7 انفعالات أساسية وهي: الفرح، الحزن، الغضب، الاندهاش، الخجل، التفكير، والخوف.
الانفعالات اللي بيتعامل معاها التطبيق إيه؟, التطبيق بيتعرف على 7 انفعالات أساسية وهي: الفرح، الحزن، الغضب، الاندهاش، الخجل، التفكير، والخوف.
الاختبار بيستغرق وقت قد إيه؟, مدة الاختبار بتختلف حسب نوعه، لكن في الغالب من 10 إلى 15 دقيقة.
مدة اختبار الطفل قد إيه؟, مدة الاختبار بتختلف حسب نوعه، لكن في الغالب من 10 إلى 15 دقيقة.
هل الاختبار قصير ولا طويل؟, مدة الاختبار بتختلف حسب نوعه، لكن في الغالب من 10 إلى 15 دقيقة.
في كام نوع من الاختبارات داخل التطبيق؟,التطبيق يحتوي على عدة أنواع من الاختبارات: اختبار أسبوعي، شهري، وكل 3 شهور. كل نوع بيقيس تطور مختلف في المهارات.
هل كل اختبار بيقيس حاجة معينة؟,التطبيق يحتوي على عدة أنواع من الاختبارات: اختبار أسبوعي، شهري، وكل 3 شهور. كل نوع بيقيس تطور مختلف في المهارات.
الفرق بين اختبار الأسبوع والشهر إيه؟, التطبيق يحتوي على عدة أنواع من الاختبارات: اختبار أسبوعي، شهري، وكل 3 شهور. كل نوع بيقيس تطور مختلف في المهارات.
إيه أنواع التقييمات المتاحة؟, التطبيق يحتوي على عدة أنواع من الاختبارات: اختبار أسبوعي، شهري، وكل 3 شهور. كل نوع بيقيس تطور مختلف في المهارات.
إيه اللي بيحصل بعد ما الطفل يخلص الجلسة؟, بعد كل جلسة، بيتم توليد تقرير تلقائي يوضح تفاعل الطفل، وأداءه، وأي ملاحظات مهمة.
هل في تقرير بعد الجلسة؟, بعد كل جلسة، بيتم توليد تقرير تلقائي يوضح تفاعل الطفل، وأداءه، وأي ملاحظات مهمة.
بعد ما يخلص الاختبار، إيه اللي بيظهرلي؟, بعد كل جلسة، بيتم توليد تقرير تلقائي يوضح تفاعل الطفل، وأداءه، وأي ملاحظات مهمة.
هل في تحليل لأداء الطفل؟, بعد كل جلسة، بيتم توليد تقرير تلقائي يوضح تفاعل الطفل، وأداءه، وأي ملاحظات مهمة.
هل التطبيق بيحسب التقدم؟, التقدم بيتم قياسه بشكل دوري، والتطبيق بيعمل مقارنة بين أداء الطفل الحالي وأداءه في الفترات السابقة علشان تشوف مدى التطور.
هل أقدر أعرف ابني بيتطور من جلسة للتانية؟, التقدم بيتم قياسه بشكل دوري، والتطبيق بيعمل مقارنة بين أداء الطفل الحالي وأداءه في الفترات السابقة علشان تشوف مدى التطور.
التقييم بيتغير مع الوقت؟, التقدم بيتم قياسه بشكل دوري، والتطبيق بيعمل مقارنة بين أداء الطفل الحالي وأداءه في الفترات السابقة علشان تشوف مدى التطور.
هل في تقارير مقارنة على مدار الأسابيع؟, التقدم بيتم قياسه بشكل دوري، والتطبيق بيعمل مقارنة بين أداء الطفل الحالي وأداءه في الفترات السابقة علشان تشوف مدى التطور.
نسيت كلمة المرور، أعمل إيه؟,"في حالة نسيان كلمة المرور، تقدر تستخدم خيار ""نسيت كلمة المرور"" علشان توصلك رسالة لإعادة تعيينها على البريد الإلكتروني."
لو نسيت الباسورد، ممكن أرجعه؟,"في حالة نسيان كلمة المرور، تقدر تستخدم خيار ""نسيت كلمة المرور"" علشان توصلك رسالة لإعادة تعيينها على البريد الإلكتروني."
هل في طريقة لاسترجاع الحساب؟,"في حالة نسيان كلمة المرور، تقدر تستخدم خيار ""نسيت كلمة المرور"" علشان توصلك رسالة لإعادة تعيينها على البريد الإلكتروني."
الباسورد ضاع، أتصرف إزاي؟,"في حالة نسيان كلمة المرور، تقدر تستخدم خيار ""نسيت كلمة المرور"" علشان توصلك رسالة لإعادة تعيينها على البريد الإلكتروني."
هل لازم إنترنت علشان أستخدم التطبيق؟,التطبيق بيشتغل أونلاين وأوفلاين جزئيًا، لكن بعض الخصائص (زي تحليل الانفعالات أو تحديث التقارير) محتاجة إنترنت.
التطبيق يشتغل أوفلاين؟,التطبيق بيشتغل أونلاين وأوفلاين جزئيًا، لكن بعض الخصائص (زي تحليل الانفعالات أو تحديث التقارير) محتاجة إنترنت.
محتاج اتصال دائم علشان يشتغل؟,التطبيق بيشتغل أونلاين وأوفلاين جزئيًا، لكن بعض الخصائص (زي تحليل الانفعالات أو تحديث التقارير) محتاجة إنترنت.
هل ممكن أستخدمه بدون نت؟,التطبيق بيشتغل أونلاين وأوفلاين جزئيًا، لكن بعض الخصائص (زي تحليل الانفعالات أو تحديث التقارير) محتاجة إنترنت.
هل بيانات الطفل آمنة؟,كل بيانات الطفل محفوظة بأمان داخل التطبيق باستخدام نظام تشفير قوي، ومفيش طرف خارجي يقدر يشوفها غيرك.
الخصوصية محفوظة في التطبيق؟,كل بيانات الطفل محفوظة بأمان داخل التطبيق باستخدام نظام تشفير قوي، ومفيش طرف خارجي يقدر يشوفها غيرك.
هل في حماية لمعلوماتي ومعلومات الطفل؟,كل بيانات الطفل محفوظة بأمان داخل التطبيق باستخدام نظام تشفير قوي، ومفيش طرف خارجي يقدر يشوفها غيرك.
إزاي التطبيق بيأمن بيانات الأطفال؟,كل بيانات الطفل محفوظة بأمان داخل التطبيق باستخدام نظام تشفير قوي، ومفيش طرف خارجي يقدر يشوفها غيرك.
